104 0 0 , 1860 467 0
104 8 0 , 1861 567 0
104 16 0 , 1862 678 0
104 24 0 , 1862 777 0
104 32 0 , 1863 888 0
104 40 0 , 1863 987 0
104 48 0 , 1863 1096 0
104 56 0 , 1864 1193 0
104 64 0 , 1864 1299 0
104 72 0 , 1864 1394 0
104 80 0 , 1864 1499 0
104 88 0 , 1865 1592 0
104 96 0 , 1865 1694 0
104 104 0 , 1866 1786 0
104 112 0 , 1866 1886 0
104 120 0 , 1867 1976 0
104 128 0 , 1868 2074 0
104 136 0 , 1869 2163 0
104 144 0 , 1871 2261 0
104 152 0 , 1872 2349 0
104 160 0 , 1873 2445 0
104 168 0 , 1874 2532 0
104 176 0 , 1875 2627 0
104 184 0 , 1876 2713 0
104 192 0 , 1877 2807 0
104 200 0 , 1878 2891 0
104 208 0 , 1880 2985 0
104 216 0 , 1881 3068 0
104 224 0 , 1882 3161 0
104 232 0 , 1883 3242 0
104 240 0 , 1884 3332 0
104 248 0 , 1885 3413 0
112 0 0 , 1963 471 0
112 8 0 , 1963 572 0
112 16 0 , 1964 780 0
112 24 0 , 1964 988 0
112 32 0 , 1964 1096 0
112 40 0 , 1964 1193 0
112 48 0 , 1964 1298 0
112 56 0 , 1964 1393 0
112 64 0 , 1964 1497 0
112 72 0 , 1964 1589 0
112 80 0 , 1964 1692 0
112 88 0 , 1964 1783 0
112 96 0 , 1964 1882 0
112 104 0 , 1965 682 0
112 112 0 , 1965 890 0
112 120 0 , 1965 1972 0
112 128 0 , 1966 2071 0
112 136 0 , 1966 2159 0
112 144 0 , 1967 2257 0
112 152 0 , 1968 2344 0
112 160 0 , 1968 2440 0
112 168 0 , 1969 2526 0
112 176 0 , 1970 2621 0
112 184 0 , 1971 2706 0
112 192 0 , 1972 2800 0
112 200 0 , 1973 2884 0
112 208 0 , 1973 2977 0
112 216 0 , 1975 3060 0
112 224 0 , 1975 3151 0
112 232 0 , 1976 3232 0
112 240 0 , 1976 3322 0
112 248 0 , 1976 3401 0
120 0 0 , 2053 1587 0
120 8 0 , 2053 1689 0
120 16 0 , 2053 1781 0
120 24 0 , 2053 1880 0
120 32 0 , 2053 1969 0
120 40 0 , 2054 1192 0
120 48 0 , 2054 1297 0
120 56 0 , 2054 1392 0
120 64 0 , 2054 1495 0
120 72 0 , 2054 2067 0
120 80 0 , 2054 2156 0
120 88 0 , 2054 2253 0
120 96 0 , 2055 573 0
120 104 0 , 2055 989 0
120 112 0 , 2055 1095 0
120 120 0 , 2055 2340 0
120 128 0 , 2055 2436 0
120 136 0 , 2055 2521 0
120 144 0 , 2056 474 0
120 152 0 , 2056 683 0
120 160 0 , 2056 782 0
120 168 0 , 2056 891 0
120 176 0 , 2056 2616 0
120 184 0 , 2057 2701 0
120 192 0 , 2057 2795 0
120 200 0 , 2058 2879 0
120 208 0 , 2058 2971 0
120 216 0 , 2058 3313 0
120 224 0 , 2058 3391 0
120 232 0 , 2059 3054 0
120 240 0 , 2059 3145 0
120 248 0 , 2059 3225 0
128 0 0 , 2146 3380 0
128 8 0 , 2148 3302 0
128 16 0 , 2149 2516 0
128 24 0 , 2149 2610 0
128 32 0 , 2150 1877 0
128 40 0 , 2150 1966 0
128 48 0 , 2150 2064 0
128 56 0 , 2150 2152 0
128 64 0 , 2150 2249 0
